index,PCU482111482111
2002-10-01,119.2
2002-11-01,119.5
2002-12-01,119.5
2003-01-01,119.7
2003-02-01,119.9
2003-03-01,120.9
2003-04-01,121.7
2003-05-01,121.2
2003-06-01,121.8
2003-07-01,121.8
2003-08-01,121.7
2003-09-01,121.9
2003-10-01,122.0
2003-11-01,122.1
2003-12-01,122.2
2004-01-01,123.2
2004-02-01,123.4
2004-03-01,124.4
2004-04-01,124.7
2004-05-01,125.3
2004-06-01,125.6
2004-07-01,126.4
2004-08-01,126.6
2004-09-01,128.0
2004-10-01,128.9
2004-11-01,129.9
2004-12-01,131.2
2005-01-01,131.9
2005-02-01,132.0
2005-03-01,133.7
2005-04-01,135.0
2005-05-01,138.7
2005-06-01,139.2
2005-07-01,139.3
2005-08-01,140.8
2005-09-01,142.5
2005-10-01,145.7
2005-11-01,148.4
2005-12-01,148.4
2006-01-01,147.2
2006-02-01,146.3
2006-03-01,148.3
2006-04-01,148.6
2006-05-01,150.5
2006-06-01,153.1
2006-07-01,154.9
2006-08-01,155.1
2006-09-01,155.6
2006-10-01,155.5
2006-11-01,152.5
2006-12-01,151.2
2007-01-01,151.8
2007-02-01,152.5
2007-03-01,151.2
2007-04-01,152.5
2007-05-01,154.0
2007-06-01,157.3
2007-07-01,157.2
2007-08-01,159.1
2007-09-01,160.8
2007-10-01,161.4
2007-11-01,163.4
2007-12-01,165.1
2008-01-01,169.6
2008-02-01,169.1
2008-03-01,169.6
2008-04-01,170.6
2008-05-01,174.4
2008-06-01,178.0
2008-07-01,181.3
2008-08-01,183.3
2008-09-01,182.6
2008-10-01,179.5
2008-11-01,176.1
2008-12-01,171.3
2009-01-01,166.8
2009-02-01,164.6
2009-03-01,163.1
2009-04-01,162.8
2009-05-01,162.8
2009-06-01,163.9
2009-07-01,164.6
2009-08-01,167.2
2009-09-01,167.3
2009-10-01,167.7
2009-11-01,168.2
2009-12-01,168.3
2010-01-01,170.4
2010-02-01,171.2
2010-03-01,172.5
2010-04-01,172.7
2010-05-01,174.7
2010-06-01,176.1
2010-07-01,175.9
2010-08-01,174.8
2010-09-01,175.1
2010-10-01,175.6
2010-11-01,175.5
2010-12-01,176.9
2011-01-01,180.2
2011-02-01,181.6
2011-03-01,184.7
2011-04-01,188.4
2011-05-01,192.1
2011-06-01,193.3
2011-07-01,193.2
2011-08-01,192.2
2011-09-01,192.2
2011-10-01,191.7
2011-11-01,191.6
2011-12-01,191.5
2012-01-01,193.4
2012-02-01,194.6
2012-03-01,194.9
2012-04-01,196.4
2012-05-01,200.5
2012-06-01,200.2
2012-07-01,198.7
2012-08-01,196.9
2012-09-01,197.4
2012-10-01,199.9
2012-11-01,201.1
2012-12-01,201.0
2013-01-01,203.3
2013-02-01,203.2
2013-03-01,203.4
2013-04-01,205.3
2013-05-01,204.9
2013-06-01,203.9
2013-07-01,203.8
2013-08-01,203.6
2013-09-01,204.2
2013-10-01,204.9
2013-11-01,205.3
2013-12-01,204.8
2014-01-01,206.4
2014-02-01,207.2
2014-03-01,207.5
2014-04-01,208.7
2014-05-01,209.2
2014-06-01,208.8
2014-07-01,209.0
2014-08-01,208.8
2014-09-01,208.4
2014-10-01,207.9
2014-11-01,207.7
2014-12-01,206.8
2015-01-01,206.5
2015-02-01,204.0
2015-03-01,200.5
2015-04-01,201.0
2015-05-01,200.7
2015-06-01,200.1
2015-07-01,200.5
2015-08-01,199.4
2015-09-01,198.5
2015-10-01,197.1
2015-11-01,197.0
2015-12-01,197.1
2016-01-01,195.2
2016-02-01,193.8
2016-03-01,193.2
2016-04-01,193.6
2016-05-01,194.2
2016-06-01,195.2
2016-07-01,196.1
2016-08-01,196.4
2016-09-01,197.3
2016-10-01,197.1
2016-11-01,197.7
2016-12-01,198.6
2017-01-01,199.8
2017-02-01,200.8
2017-03-01,201.7
2017-04-01,201.8
2017-05-01,202.1
2017-06-01,202.3
2017-07-01,202.3
2017-08-01,202.2
2017-09-01,202.8
2017-10-01,205.0
2017-11-01,206.2
2017-12-01,207.0
2018-01-01,208.2
2018-02-01,208.9
2018-03-01,211.0
2018-04-01,212.3
2018-05-01,213.0
2018-06-01,214.3
2018-07-01,214.7
2018-08-01,215.4
2018-09-01,217.6
2018-10-01,217.9
2018-11-01,218.7
2018-12-01,219.0
2019-01-01,218.8
2019-02-01,218.7
2019-03-01,218.4
2019-04-01,220.5
2019-05-01,221.4
2019-06-01,221.6
2019-07-01,221.7
2019-08-01,221.3
2019-09-01,221.0
2019-10-01,221.5
2019-11-01,221.6
2019-12-01,221.8
2020-01-01,223.1
2020-02-01,223.2
2020-03-01,222.7
2020-04-01,221.7
2020-05-01,219.9
2020-06-01,218.6
2020-07-01,218.4
2020-08-01,219.4
2020-09-01,219.9
2020-10-01,220.1
2020-11-01,220.4
2020-12-01,221.4
2021-01-01,223.2
2021-02-01,224.4
2021-03-01,226.8
2021-04-01,228.4
2021-05-01,230.3
2021-06-01,231.0
2021-07-01,232.41
2021-08-01,233.491
2021-09-01,234.583
2021-10-01,236.297
2021-11-01,237.879
2021-12-01,238.886
2022-01-01,240.995
2022-02-01,241.782
2022-03-01,243.482
2022-04-01,249.784
2022-05-01,254.679
2022-06-01,255.971
2022-07-01,259.024
2022-08-01,258.055
2022-09-01,258.332
2022-10-01,256.928
2022-11-01,258.981
2022-12-01,258.83
2023-01-01,261.529
2023-02-01,259.191
2023-03-01,258.719
2023-04-01,258.207
2023-05-01,255.864
2023-06-01,254.981
2023-07-01,254.812
2023-08-01,255.906
2023-09-01,257.632
2023-10-01,260.697
2023-11-01,261.657
2023-12-01,261.52
2024-01-01,264.276
2024-02-01,260.755
2024-03-01,260.378
2024-04-01,262.727
2024-05-01,263.162
2024-06-01,263.059
